candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,640.0,674.0,726.0,left,0.013524398993571682,0.009685252358148475,48.759696699696
2,624.0,758.0,822.0,left,0.013524398993571682,0.00824607805176052,10.723084400871718
3,620.0,888.0,962.0,left,0.013524398993571682,0.007091335679561065,54.58247575512657
4,620.0,938.0,962.0,left,0.013524398993571682,0.007091335679561065,54.58247575512657
5,1274.0,1334.0,1474.0,right,0.011793232473716466,0.008607717560209024,-31.273052908797162
6,1278.0,1418.0,1472.0,right,0.011793232473716466,0.008773354329689826,-31.63847982315322
7,1658.0,1720.0,1766.0,left,0.03039537282729215,0.021271757842719594,133.97754646282092
8,2258.0,2306.0,2548.0,left,0.011358995648368422,0.006495875618328753,108.65982085360166
9,2256.0,2360.0,2554.0,left,0.011358995648368422,0.006405622612822699,110.20447742876995
10,2256.0,2428.0,2558.0,left,0.011358995648368422,0.006357132989607904,110.76126781464195
11,2256.0,2478.0,2558.0,left,0.011358995648368422,0.006357132989607904,110.76126781464195
12,2256.0,2542.0,2558.0,left,0.011358995648368422,0.006357132989607904,110.76126781464195
13,2672.0,2738.0,2958.0,right,0.02075477524150414,0.0084113315174893,-104.22515952856767
14,2788.0,2860.0,2882.0,right,0.02075477524150414,0.014045660178691799,-77.77817333389014
15,2672.0,2918.0,2958.0,right,0.02075477524150414,0.0084113315174893,-104.22515952856767
16,3308.0,3342.0,3424.0,left,0.02123063504953087,0.014151467006763322,19.585909721653056
17,3310.0,3388.0,3418.0,left,0.02123063504953087,0.014755618734894433,18.355434049027863
18,3898.0,3916.0,3936.0,right,0.004685278810471082,0.0037615860805853933,-8.458039272211655
19,4086.0,4138.0,4314.0,left,0.018891753371728055,0.013093659936987925,172.84718363334667
20,4084.0,4228.0,4316.0,left,0.018891753371728055,0.012960050500105139,174.07143566665985
21,4080.0,4292.0,4320.0,left,0.018891753371728055,0.012667983692114708,175.78311299152676
