candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,306.0,412.0,436.0,left,0.01997836370501851,0.014723999974100621,111.50830277194757
2,302.0,480.0,526.0,left,0.01997836370501851,0.014030908885533048,43.90851172960229
3,544.0,560.0,776.0,left,0.008800793489447154,0.006873549982515446,92.06318203172395
4,544.0,634.0,776.0,left,0.008800793489447154,0.006873549982515446,92.06318203172395
5,1372.0,1454.0,1504.0,left,0.014755310744915503,0.011975134379183959,91.92635534993438
6,1992.0,2014.0,2240.0,right,0.011057664452273444,0.008920966288792437,-127.79574474129906
7,1992.0,2074.0,2240.0,right,0.011057664452273444,0.008920966288792437,-127.79574474129906
8,1992.0,2158.0,2240.0,right,0.011057664452273444,0.008920966288792437,-127.79574474129906
9,2316.0,2358.0,2390.0,right,0.0387725573089654,0.027951007620567014,-122.25479628412621
10,2406.0,2464.0,2552.0,left,0.024625867715852498,0.018723403686347673,158.92097411997275
11,2716.0,2758.0,2824.0,right,0.035542174133549764,0.023690668973063794,-149.0920128162573
12,2860.0,2884.0,3076.0,left,0.010654444734980907,0.008290404372670207,103.54434521946955
13,2860.0,2934.0,3076.0,left,0.010654444734980907,0.008290404372670207,103.54434521946955
14,2860.0,2998.0,3076.0,left,0.010654444734980907,0.008290404372670207,103.54434521946955
15,3212.0,3264.0,3330.0,left,0.020234102234554956,0.014416205126205752,99.07367355118015
