candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,718.0,770.0,814.0,right,0.030984281074812128,0.02311264408089996,-130.28654330991074
2,1256.0,1310.0,1388.0,left,0.009789499491651914,0.008292867842744986,63.621277369499694
3,1482.0,1620.0,1882.0,right,0.009344267773882938,0.007033783054013897,-161.75280694456953
4,1482.0,1696.0,1882.0,right,0.009344267773882938,0.007033783054013897,-161.75280694456953
5,1482.0,1772.0,1882.0,right,0.009344267773882938,0.007033783054013897,-161.75280694456953
6,1482.0,1818.0,1882.0,right,0.009344267773882938,0.007033783054013897,-161.75280694456953
7,1954.0,2026.0,2100.0,left,0.020295717506387787,0.015015303156952202,127.04894864193005
8,2808.0,2838.0,2864.0,right,0.044500904032607105,0.03230646476776263,-108.52817951858013
9,2800.0,2916.0,2942.0,right,0.044500904032607105,0.02455833524499157,-27.769198459134646
10,2960.0,3000.0,3214.0,right,0.022070232840386537,0.01171567943778743,-160.5680817088491
11,3080.0,3174.0,3214.0,right,0.022070232840386537,0.015581610298792516,-109.64925536559251
12,3218.0,3238.0,3470.0,left,0.029077802863299123,0.01374643737529153,199.29639132462628
13,3218.0,3300.0,3470.0,left,0.029077802863299123,0.01374643737529153,199.29639132462628
14,3352.0,3396.0,3458.0,left,0.029077802863299123,0.0204470810654376,125.61392192467414
15,3542.0,3586.0,3760.0,right,0.025809460613834725,0.014260355453810707,-179.36312741912627
16,3604.0,3676.0,3746.0,right,0.025809460613834725,0.018196981282375988,-149.3299268444426
