candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,714.0,744.0,822.0,right,0.02900674672328573,0.020706947246852913,-130.81274063015962
2,1250.0,1284.0,1376.0,left,0.009533272732018217,0.007603700081122835,55.44838459795569
3,1442.0,1798.0,1876.0,right,0.009560689619403769,0.00697855311061666,-173.9021112612413
4,1950.0,1988.0,2146.0,left,0.01892596159715687,0.012673686741828389,143.61291072124124
5,1952.0,2036.0,2142.0,left,0.01892596159715687,0.012895937929210649,141.50477578111412
6,1948.0,2084.0,2152.0,left,0.01892596159715687,0.012373063751338976,145.96921220265452
7,2808.0,2836.0,2864.0,right,0.04458436420401776,0.03195371336935662,-107.26198813472658
8,2800.0,2902.0,2946.0,right,0.04458436420401776,0.023725388684165172,-27.99306691835575
9,2796.0,2978.0,3492.0,left,0.04458436420401776,0.014192958468562127,15.053296191769837
10,2796.0,3118.0,3492.0,left,0.04458436420401776,0.014192958468562127,15.053296191769837
11,2958.0,3176.0,3490.0,left,0.025811738230881787,0.011812115402073053,42.789835953225435
12,2796.0,3258.0,3492.0,left,0.04458436420401776,0.014192958468562127,15.053296191769837
13,2796.0,3312.0,3492.0,left,0.04458436420401776,0.014192958468562127,15.053296191769837
14,3240.0,3392.0,3474.0,left,0.025811738230881787,0.013935481081349075,187.53010145466567
15,3534.0,3584.0,3776.0,right,0.02349885370372186,0.013616976318978602,-190.1946924465577
16,3564.0,3672.0,3746.0,right,0.02349885370372186,0.01610369696722743,-169.16994694284966
