candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,704.0,742.0,772.0,right,0.043432949542269374,0.030762405031955868,-123.47000089340608
2,692.0,810.0,894.0,right,0.043432949542269374,0.016977331363987647,-67.54496762822444
3,692.0,878.0,896.0,right,0.043432949542269374,0.01684858573770811,-66.9896091360321
4,1478.0,1500.0,1612.0,right,0.02527254987161835,0.01559643036776965,-120.73357512460002
5,1472.0,1584.0,1626.0,right,0.02527254987161835,0.014377281911446238,-128.40186754973874
6,1830.0,1874.0,1954.0,right,0.0109436729942355,0.008780063255160097,-63.34234381962467
7,1970.0,2030.0,2106.0,left,0.010691396020430035,0.007130746131188046,56.0007438379501
8,2222.0,2280.0,2316.0,right,0.03551062981979679,0.024919621737678147,-136.6444989284911
9,2568.0,2654.0,2780.0,left,0.03782734600746816,0.014412817454955432,176.65045442686272
10,2678.0,2728.0,2766.0,left,0.03782734600746816,0.02444718189563962,125.87233243613503
11,3394.0,3450.0,3654.0,left,0.017550602706896887,0.01013490837428291,151.57058545419775
12,3388.0,3508.0,3672.0,left,0.017550602706896887,0.009663534946105399,158.24121094362104
13,4034.0,4070.0,4198.0,right,0.016516186592593525,0.012072216704994797,-114.69854113408903
14,4038.0,4126.0,4194.0,right,0.016516186592593525,0.012444830091369288,-112.6588168836828
15,4870.0,4912.0,4978.0,right,0.023192594396413056,0.01555739674980456,-98.078636627324
