candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,422.0,468.0,564.0,left,0.029897761308779438,0.021684192352245293,179.03162523606693
2,420.0,540.0,564.0,left,0.029897761308779438,0.02150220945392737,180.10933891811564
3,714.0,756.0,848.0,right,0.017516449836147183,0.01213024231032755,-94.27137105644073
4,716.0,814.0,848.0,right,0.017516449836147183,0.012235391424708579,-93.69941020781332
5,1466.0,1550.0,1644.0,left,0.014536066218402569,0.010969672313565033,113.02345914564766
6,1888.0,1944.0,1984.0,left,0.011731301443610873,0.008543232321314027,47.095221269572946
7,2424.0,2462.0,2482.0,left,0.02781910609498765,0.01977908540857651,68.73546870349877
8,2418.0,2528.0,2584.0,left,0.02781910609498765,0.014471721447890497,3.7917262021778475
9,2604.0,2768.0,2824.0,left,0.012297775026215084,0.00924428818047738,117.18703099177947
10,2922.0,2990.0,3062.0,right,0.013824881299794237,0.009569434978727897,-77.09126831005675
11,3244.0,3288.0,3316.0,left,0.03841037381329886,0.026252154913006087,110.81833796506704
