candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,352.0,430.0,470.0,right,0.014226911492348468,0.01007880852690285,-69.4003111951037
2,516.0,554.0,640.0,right,0.00867042941404048,0.006129583339916854,-44.2947797860427
3,706.0,734.0,766.0,right,0.04760390519814132,0.03442162174132724,-122.44574108503474
4,786.0,842.0,932.0,left,0.011963814407198637,0.009493418292104963,80.9311238323448
5,1414.0,1448.0,1496.0,left,0.038130576255217145,0.02877900677378165,138.5290500199174
6,1870.0,1922.0,2138.0,right,0.027047166239328964,0.012884776938920171,-199.36709928776654
7,2018.0,2080.0,2126.0,right,0.027047166239328964,0.020085106808070307,-126.22269051380376
8,2638.0,2676.0,2814.0,right,0.019201388699785146,0.012949815595481617,-132.08942331839012
9,2656.0,2770.0,2812.0,right,0.019201388699785146,0.013922712216824487,-125.45471861688426
10,2894.0,2936.0,3054.0,left,0.007309486947402435,0.006268875112999868,57.24506496020217
11,2894.0,3022.0,3054.0,left,0.007309486947402435,0.006268875112999868,57.24506496020217
12,3140.0,3196.0,3254.0,left,0.027860271574000468,0.021148883737487915,140.54943619456395
13,3352.0,3420.0,3548.0,right,0.021816561552462983,0.014430702674319392,-163.76166951321068
14,3348.0,3470.0,3564.0,right,0.021816561552462983,0.013616138136165147,-169.7470509797768
15,3348.0,3540.0,3572.0,right,0.021816561552462983,0.013282325364680308,-171.65649481092512
