candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,366.0,562.0,632.0,left,0.009215097831429141,0.006416088659438921,98.45840289487145
2,892.0,938.0,1032.0,left,0.019663510387312646,0.012909672602251,52.57696768620007
3,880.0,1010.0,1038.0,left,0.019663510387312646,0.011968414288590697,53.96962949530746
4,1066.0,1130.0,1178.0,left,0.02062855860409031,0.013952394914890193,90.78508768548883
5,1962.0,1994.0,2012.0,right,0.05279095637745357,0.03761607125772146,-112.96144328379255
6,2724.0,2754.0,2800.0,right,0.025517457794482508,0.01840865617775001,-81.63266731704493
7,2832.0,2908.0,3026.0,left,0.009314058480766127,0.006636200874447348,74.99885026134933
8,2832.0,2954.0,3026.0,left,0.009314058480766127,0.006636200874447348,74.99885026134933
9,3180.0,3204.0,3320.0,right,0.018385347645736714,0.01103499880178368,-89.81164480376911
10,3194.0,3262.0,3308.0,right,0.018385347645736714,0.01262061342788885,-83.90767335351151
11,3966.0,4026.0,4072.0,right,0.017088973008537463,0.011707080034291412,-72.42769441557567
12,4208.0,4236.0,4310.0,right,0.018265024318755922,0.012692825185641885,-75.80483217998666
13,4204.0,4282.0,4326.0,right,0.018265024318755922,0.011392429297067791,-81.44151984802524
14,5182.0,5218.0,5528.0,right,0.018504735411855735,0.00867371611928172,-172.83750069630534
15,5182.0,5362.0,5528.0,right,0.018504735411855735,0.00867371611928172,-172.83750069630534
16,5286.0,5436.0,5506.0,right,0.018504735411855735,0.010169002833481525,-128.86459796276503
17,5182.0,5482.0,5526.0,right,0.018504735411855735,0.008706873686288719,-172.32263510119898
