candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,724.0,762.0,834.0,right,0.02338167270847502,0.017297646482441593,-110.63216105641014
2,856.0,886.0,986.0,left,0.03126843392031992,0.019658096742671816,148.8383165148247
3,864.0,946.0,978.0,left,0.03126843392031992,0.021340733495922186,141.62892231719258
4,1022.0,1128.0,1194.0,left,0.007820683693415178,0.005995668045230401,59.54234273468162
5,1740.0,1792.0,1928.0,left,0.019076030291945538,0.011296712116307022,123.14120948050565
6,1762.0,1846.0,1928.0,left,0.019076030291945538,0.012215851116378632,117.59551007496307
7,1770.0,1892.0,1926.0,left,0.019076030291945538,0.012691124824780502,115.03275524235269
8,1948.0,2028.0,2174.0,right,0.02159714941917665,0.014826004342472464,-193.4620428769145
9,1952.0,2078.0,2162.0,right,0.02159714941917665,0.015508866822606746,-187.908568511234
10,2880.0,2948.0,3042.0,right,0.009523365062099288,0.007324330910470829,-68.61514299201461
11,3826.0,3854.0,3978.0,right,0.011893519636721608,0.00990512768653081,-87.75508665363357
12,3826.0,3920.0,3978.0,right,0.011893519636721608,0.00990512768653081,-87.75508665363357
13,4826.0,4872.0,5036.0,right,0.01228713791035791,0.009018639154442705,-109.35034669707849
14,4826.0,4968.0,5036.0,right,0.01228713791035791,0.009018639154442705,-109.35034669707849
15,5364.0,5396.0,5418.0,left,0.034888669040889136,0.024274074756705653,77.87934818550454
16,5354.0,5448.0,5496.0,left,0.034888669040889136,0.019710115546176597,4.432155811849382
17,5344.0,5540.0,5690.0,right,0.034888669040889136,0.012613026060501287,-78.93400041476272
18,5344.0,5618.0,5690.0,right,0.034888669040889136,0.012613026060501287,-78.93400041476272
